Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GT,140124,846066229,5.74408,0.140679,3.26277,4.72418,3.26580138,1.164750168,1.527706583,1,4.46122,-1.26541,0.280443,4.26748,1.296113708,1.907102435,2.923495527,-1,3.07878
GT,140124,846069846,8.81814,-2.08225,-7.43537,-4.2577,7.721430703,-0.526718481,-1.843848231,-1,4.28525,1.08815,-3.38393,-2.39105,3.554581926,-0.630130791,-1.259675322,1,3.07367
GT,140124,846095022,10.2762,-0.50732,3.97528,9.46202,4.007521012,1.594358768,1.697728881,-1,6.20379,-1.26615,0.717358,6.02977,1.455245107,2.128935212,2.626119573,1,2.53575
GT,140124,846121672,7.55835,-0.293058,2.15879,7.23679,2.178590658,1.915570183,1.705722584,-1,3.93603,-1.35736,0.0815461,3.69216,1.359807316,1.724320843,3.081587787,1,2.22161
GT,140124,846135142,8.36131,-0.627455,-1.94699,-8.10654,2.045597672,-2.085679881,-1.882556373,1,5.08705,-1.51495,-0.0353999,-4.85496,1.515363539,-1.881003946,-3.118229863,-1,2.0829
GT,140124,846181124,18.876,-3.94423,-2.4149,-18.3004,4.624791055,-2.084235802,-2.592206126,1,5.18547,-2.03614,0.739714,-4.71009,2.16634321,-1.518937324,2.793125558,-1,3.30186
GT,140124,846205510,10.475,2.03399,-2.44858,-9.97911,3.183183836,-1.860277832,-0.877625135,1,5.4324,-0.796425,-1.05894,-5.26727,1.32500819,-2.088697989,-2.215637805,-1,2.60004
GT,140124,846214295,6.34572,0.918381,3.19487,-5.4043,3.324246979,-1.262537419,1.290888172,-1,5.68779,-0.0380967,-1.07838,-5.5835,1.079052725,-2.346088433,-1.606109355,1,4.33813
GT,140124,846233271,13.4093,-2.13274,1.54816,-13.1473,2.635408753,-2.310222529,2.513693553,1,3.81072,0.427435,1.50715,-3.4722,1.566589226,-1.536429033,1.294448016,-1,2.84192
GT,140124,846246869,8.18089,-2.24958,-2.1592,7.56261,3.118133226,1.619149849,-2.376691621,-1,8.85997,0.291507,-1.95226,8.63664,1.973903604,2.181957842,-1.422573718,1,2.69017
GT,140124,846251052,13.8218,0.858207,-4.52724,-13.0307,4.607865153,-1.762579998,-1.383454098,1,3.38308,-0.910147,-0.553126,-3.20932,1.065042691,-1.822651862,-2.595506811,-1,2.54115
